Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
1000,2468,1014,63,36,9999,0,1515,0,3798,5753,5,4,1478,525,1555,1,0,1,44,72,56,0,12,38,0,0,1440,1584,15662,870,0,45,35,33,36,35,38,45,44,10,95,0,0,9000,1136,0,823,168,991,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
2000,2468,1014,63,36,9999,0,1630,0,3798,6190,5,4,1478,525,2000,1,0,1,59,72,49,0,2,24,0,0,1440,1584,15076,846,0,47,47,47,39,39,47,44,44,14,99,0,0,9000,1136,0,823,168,991,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
3000,2468,1014,63,37,9999,0,1611,0,3787,6100,5,4,1670,525,2000,1,0,1,59,72,48,0,3,15,0,0,1440,1584,14947,864,0,47,30,35,31,39,47,42,47,22,95,0,0,9000,1136,0,823,168,991,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
4001,2468,1014,63,37,9999,0,1536,0,3787,5816,5,4,1862,525,2000,1,0,1,62,72,48,0,3,19,0,0,1440,1584,14581,858,0,50,22,33,35,21,50,47,47,10,98,0,0,9000,1136,0,823,168,991,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
5000,2468,1014,63,37,9999,0,1544,0,3791,5853,5,4,1862,525,2000,1,0,1,54,72,49,0,1,11,0,0,1440,1584,15867,2366,312,50,39,47,26,30,50,47,47,10,93,0,0,9000,1136,0,823,168,991,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,101,0,0,0
6000,2468,1014,63,37,9999,0,1561,0,3791,5917,5,4,1766,525,2000,1,0,1,61,72,49,0,3,26,0,0,1440,1584,16850,866,0,47,31,33,28,30,39,45,47,19,97,0,0,9000,1136,0,823,168,991,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
7000,2468,1014,63,37,9999,0,1453,0,3791,5508,5,4,1478,525,2000,1,0,1,47,72,49,0,2,19,0,0,1440,1584,17584,862,0,44,38,30,35,33,36,44,42,19,94,0,0,9000,1136,0,823,168,991,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
8000,2468,1014,63,37,9999,0,1600,0,3791,6065,5,4,1862,525,2000,1,0,1,64,72,47,0,0,26,0,0,1440,1584,13980,884,0,52,35,42,39,42,47,42,52,14,98,0,0,9000,1136,0,823,168,991,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
9001,2468,1014,63,37,9999,0,1562,0,3791,5921,5,4,1862,525,2000,1,0,1,59,72,48,0,5,10,0,0,1440,1584,17313,876,0,50,36,30,38,38,44,50,44,14,98,0,0,9000,1136,0,823,168,991,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
10001,2468,1014,63,37,9999,0,1615,0,3791,6122,5,4,1478,525,2000,1,0,1,67,72,50,0,2,21,0,0,1440,1584,9577,807,0,57,36,30,25,28,52,50,57,14,79,0,0,9000,1136,0,823,168,991,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
