Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
1000,2525,1074,100,35,9999,0,216,0,4350,939,5,4,1478,525,1804,1,0,1,44,72,60,0,7,28,0,0,1440,1584,16646,841,0,36,26,21,19,33,30,26,36,30,99,0,0,8855,1227,0,883,170,1054,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
2000,2525,1074,100,35,9999,0,199,0,4350,865,5,4,1478,525,2000,1,0,1,53,72,51,0,5,26,0,0,1440,1584,23040,890,0,31,30,16,21,19,25,31,31,14,90,0,0,8855,1227,0,883,170,1054,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
3001,2525,1074,100,35,9999,0,253,0,4358,1102,5,4,1478,525,2000,1,0,1,40,72,54,0,0,37,0,0,1440,1584,18534,880,0,39,21,25,22,15,39,31,35,14,92,0,0,8855,1227,0,883,170,1054,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
4000,2525,1074,100,35,9999,0,166,0,4358,723,5,4,1478,525,2000,1,0,1,43,72,52,0,0,23,0,0,1440,1584,15043,856,0,47,26,26,30,22,44,47,45,14,98,0,0,8855,1227,0,883,170,1054,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
5000,2525,1074,100,35,9999,0,237,0,4358,1032,5,4,1478,525,2000,1,0,1,55,72,48,0,0,22,0,0,1440,1584,17284,875,0,44,16,19,23,19,42,44,40,14,97,0,0,8855,1227,0,883,170,1054,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
6000,2525,1074,100,35,9999,0,140,0,4355,609,5,4,1478,525,2000,1,0,1,52,72,48,0,0,20,0,0,1440,1584,17000,858,0,45,26,22,44,39,44,42,45,19,98,0,0,8855,1227,0,883,170,1054,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
7001,2525,1074,100,35,9999,0,289,0,4355,1258,5,4,1862,525,2000,1,0,1,57,72,48,0,1,16,0,0,1440,1584,14126,852,0,55,22,11,31,25,55,44,50,14,98,0,0,8855,1227,0,883,170,1054,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
8001,2525,1074,100,35,9999,0,359,0,4355,1563,3,4,1382,525,2000,1,0,1,67,72,46,0,3,9,0,0,1440,1584,12782,833,0,66,26,22,23,25,66,57,57,18,99,0,0,8855,1227,0,883,170,1054,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
9001,2525,1074,100,35,9999,0,329,0,4355,1432,2,4,1171,525,2000,1,0,1,72,72,50,0,29,0,0,0,1440,1584,11670,825,0,69,28,28,21,21,69,66,68,14,93,0,0,8855,1227,0,883,170,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
10001,2525,1074,100,35,9999,0,311,0,4355,1354,3,4,1171,525,2000,1,0,1,72,72,55,0,35,0,0,0,1440,1584,12806,839,0,64,30,35,16,21,64,50,59,18,99,0,0,8855,1227,0,883,170,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
