Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
1003,2530,1003,53,37,9999,0,1500,0,3695,5542,5,4,1478,525,1804,1,0,1,33,72,70,0,8,36,0,0,1440,1584,15687,2463,316,42,77,75,80,85,42,42,40,95,98,0,0,8954,1116,0,798,181,979,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,101,0,0,0
2000,2530,1003,53,37,9999,0,1647,0,3695,6085,5,4,1478,525,2000,1,0,1,45,72,53,0,0,31,0,0,1440,1584,16012,2468,316,45,84,82,85,80,45,42,38,100,99,0,0,8954,1116,0,798,181,979,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,101,0,0,0
3000,2530,1003,53,37,9999,0,1523,0,3695,5627,5,4,1478,525,2000,1,0,1,46,72,54,0,1,27,0,0,1440,1584,17600,2464,317,31,42,42,36,44,31,15,21,95,97,0,0,8954,1116,0,798,181,979,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,101,0,0,0
4000,2530,1003,53,37,9999,0,1440,0,3695,5320,5,4,1478,525,2000,1,0,1,45,72,53,0,0,35,0,0,1440,1584,19422,2497,321,28,42,45,45,33,28,19,28,91,94,0,0,8954,1116,0,798,181,979,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,101,0,0,0
5001,2530,1003,53,37,9999,0,1478,0,3695,5461,5,4,1478,525,2000,1,0,1,40,72,54,0,0,36,0,0,1440,1584,20878,2429,320,36,42,42,39,36,31,30,36,95,91,0,0,8954,1116,0,798,181,979,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,101,0,0,0
6000,2530,1003,53,37,9999,0,1492,0,3695,5512,5,4,1478,525,2000,1,0,1,36,72,55,0,0,36,0,0,1440,1584,18540,2430,323,36,44,44,38,36,36,28,36,95,88,0,0,8954,1116,0,798,181,979,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,101,0,0,0
7001,2530,1003,53,37,9999,0,1448,0,3711,5373,5,4,1478,525,2000,1,0,1,36,72,54,0,0,36,0,0,1440,1584,17089,2517,322,36,42,50,47,50,35,36,31,95,82,0,0,8954,1116,0,798,181,979,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,101,0,0,0
8008,2530,1003,53,37,9999,0,1540,0,3703,5702,5,4,1478,525,2000,1,0,1,36,72,53,0,0,35,0,0,1440,1584,12599,2449,313,42,44,35,42,44,42,39,42,95,95,0,0,8954,1116,0,798,181,979,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,101,0,0,0
9001,2530,1003,53,37,9999,0,1664,0,3703,6161,5,4,1862,525,2000,1,0,1,51,72,50,0,1,23,0,0,1440,1584,14138,2445,316,42,59,47,50,66,42,42,39,94,98,0,0,8954,1116,0,798,181,979,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,101,0,0,0
10001,2530,1003,53,37,9999,0,1646,0,3692,6077,5,4,1478,525,2000,1,0,1,54,72,49,0,1,19,0,0,1440,1584,8831,2353,316,56,89,89,90,89,55,52,56,100,90,0,0,8954,1116,0,798,181,979,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,101,0,0,0
