Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
1000,2523,1030,58,36,9999,0,1533,0,3752,5751,5,4,1478,525,2000,1,0,1,50,72,52,0,2,29,0,0,1440,1584,20393,886,0,31,30,28,28,43,28,31,28,95,97,0,0,8852,1145,0,825,184,1010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
2000,2523,1030,58,36,9999,0,1412,0,3752,5297,5,4,1478,525,1353,1,0,1,44,72,52,0,3,32,0,0,1440,1584,18895,871,0,40,38,30,31,34,33,40,31,95,94,0,0,8852,1145,0,825,184,1010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
3000,2523,1030,58,36,9999,0,1477,0,3752,5541,5,4,1478,525,2000,1,0,1,48,72,51,0,0,24,0,0,1440,1584,17937,864,0,39,42,42,40,42,35,33,39,95,94,0,0,8852,1145,0,825,184,1010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
4000,2523,1030,58,36,9999,0,1471,0,3752,5519,5,4,1478,525,2000,1,0,1,49,72,50,0,0,26,0,0,1440,1584,20086,884,0,40,39,38,33,40,40,38,38,100,88,0,0,8852,1145,0,825,184,1010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
5001,2523,1030,58,36,9999,0,1501,0,3752,5631,5,4,1574,525,2000,1,0,1,50,72,49,0,1,24,0,0,1440,1584,15194,887,0,54,33,35,33,43,52,44,54,94,97,0,0,8852,1145,0,825,184,1010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
6001,2523,1030,58,36,9999,0,1606,0,3738,6003,5,4,1670,525,2000,1,0,1,62,72,48,0,1,13,0,0,1440,1584,14622,846,0,57,36,38,40,43,54,50,57,100,98,0,0,8852,1145,0,825,184,1010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
7001,2523,1030,58,37,9999,0,1514,0,3738,5659,5,4,1382,525,2000,1,0,1,70,72,49,0,32,2,0,0,1440,1584,17773,857,0,54,42,45,38,39,52,54,44,89,88,0,0,8852,1145,0,825,184,1010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
8001,2523,1030,58,37,9999,0,1464,0,3738,5472,5,4,1478,525,2000,1,0,1,51,72,50,0,0,28,0,0,1440,1584,17870,866,0,45,35,39,47,39,45,42,42,100,95,0,0,8852,1145,0,825,184,1010,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
9001,2523,1030,58,37,9999,0,1660,0,3738,6205,5,4,1766,525,2000,1,0,1,52,72,49,0,3,22,0,0,1440,1584,12963,861,0,57,33,35,33,39,47,57,52,95,98,0,0,8852,1145,0,825,184,1010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
10001,2523,1030,58,37,9999,0,1717,0,3728,6400,5,4,1862,525,2000,1,0,1,66,72,48,0,2,10,0,0,1440,1584,13530,854,0,52,39,36,39,39,50,42,52,95,99,0,0,8852,1145,0,825,184,1010,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
11001,2523,1030,58,37,9999,0,1697,0,3728,6326,3,4,1574,525,2000,1,0,1,68,72,45,0,1,9,0,0,1440,1584,12222,856,0,60,39,31,39,31,60,59,52,100,93,0,0,8852,1145,0,825,184,1010,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
12001,2523,1030,58,37,9999,0,1518,0,3728,5659,5,4,1382,525,2000,1,0,1,73,72,48,0,29,0,0,0,1440,1584,16247,869,0,59,38,47,39,40,59,55,57,100,97,0,0,8852,1145,0,825,184,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
13001,2523,1030,58,37,9999,0,1497,0,3728,5580,5,4,1478,525,2000,1,0,1,49,72,66,0,2,37,0,0,1440,1584,18460,894,0,42,38,30,31,33,39,42,38,95,92,0,0,8852,1145,0,825,184,1010,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
14001,2523,1030,58,37,9999,0,1486,0,3728,5539,5,4,1478,525,2000,1,0,1,47,72,50,0,0,27,0,0,1440,1584,16511,888,0,57,44,44,44,42,44,52,57,95,93,0,0,8852,1145,0,825,184,1010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
15002,2523,1030,58,37,9999,0,1632,0,3743,6108,3,4,1862,525,2000,1,0,1,67,72,50,0,40,6,0,0,1440,1584,11209,813,0,63,39,45,38,33,55,57,63,95,93,0,0,8852,1145,0,825,184,1010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
16002,2523,1030,58,37,9999,0,1590,0,3743,5951,5,4,1574,525,2000,1,0,1,57,72,51,0,11,23,0,0,1440,1584,17788,887,0,50,35,26,35,36,44,50,38,100,94,0,0,8852,1145,0,825,184,1010,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
17001,2523,1030,58,37,9999,0,1574,0,3743,5891,5,4,1862,525,2000,1,0,1,54,72,49,0,2,22,0,0,1440,1584,13226,867,0,50,36,35,35,36,50,42,50,95,95,0,0,8852,1145,0,825,184,1010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
18002,2523,1030,58,37,9999,0,1609,0,3743,6022,5,4,1862,525,2000,1,0,1,67,72,47,0,2,7,0,0,1440,1584,14290,866,0,52,36,31,42,35,47,52,50,100,99,0,0,8852,1145,0,825,184,1010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
19027,2678,912,58,37,9999,0,1576,0,3735,5886,5,4,1862,525,2000,1,0,1,68,72,49,0,15,7,0,0,1440,1584,10760,841,0,57,36,27,39,35,57,50,54,95,79,0,0,8741,1028,0,707,184,892,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
20002,2678,912,58,37,9999,0,1451,0,3745,5433,5,4,1382,525,2000,1,0,1,72,72,53,0,70,0,0,0,1440,1584,13115,860,0,55,47,35,36,39,52,55,50,100,95,0,0,8741,1028,0,707,184,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
21001,2678,912,58,37,9999,0,1618,0,3745,6059,5,4,1670,525,2000,1,0,1,59,72,58,0,5,22,0,0,1440,1584,15556,904,0,55,52,50,52,52,50,50,55,94,98,0,0,8741,1028,0,707,184,892,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
22002,2678,912,58,37,9999,0,1548,0,3745,5797,5,4,1478,525,2000,1,0,1,55,72,47,0,0,20,0,0,1440,1584,15132,897,0,45,36,22,26,35,45,39,39,95,91,0,0,8741,1028,0,707,184,892,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
23003,2678,912,58,37,9999,0,1647,0,3730,6143,5,4,1862,525,2000,1,0,1,64,72,50,0,20,13,0,0,1440,1584,18390,881,0,42,35,42,30,35,40,38,42,95,91,0,0,8741,1028,0,707,184,892,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
24002,2678,912,58,37,9999,0,1599,0,3730,5964,5,4,1478,525,2000,1,0,1,54,72,49,0,2,21,0,0,1440,1584,17405,883,0,45,35,35,36,35,42,45,38,95,98,0,0,8741,1028,0,707,184,892,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
25003,2678,912,58,37,9999,0,1646,0,3730,6139,5,4,1574,525,2000,1,0,1,65,72,51,0,34,10,0,0,1440,1584,10670,816,0,57,38,30,35,31,44,57,54,100,83,0,0,8741,1028,0,707,184,892,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
26003,2678,912,58,37,9999,0,1570,0,3730,5856,5,4,1478,525,2000,1,0,1,64,72,53,0,46,10,0,0,1440,1584,16720,879,0,47,35,38,33,35,42,45,47,95,93,0,0,8741,1028,0,707,184,892,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
27003,2678,912,58,37,9999,0,1553,0,3730,5792,5,4,1478,525,2000,1,0,1,55,72,48,0,0,20,0,0,1440,1584,15751,884,0,52,35,36,36,36,42,47,52,95,98,0,0,8741,1028,0,707,184,892,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
28004,2678,912,58,37,9999,0,1567,0,3734,5851,5,4,1766,525,2000,1,0,1,60,72,48,0,1,15,0,0,1440,1584,14531,870,0,60,27,42,42,35,42,60,47,89,98,0,0,8741,1028,0,707,184,892,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
29004,2678,912,58,37,9999,0,1560,0,3734,5825,5,4,1862,525,2000,1,0,1,67,72,46,0,1,11,0,0,1440,1584,14400,864,0,52,39,31,47,31,50,52,52,94,99,0,0,8741,1028,0,707,184,892,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
30003,2678,912,58,37,9999,0,1588,0,3731,5924,5,4,1862,525,2000,1,0,1,64,72,49,0,5,10,0,0,1440,1584,12709,853,0,57,42,31,25,39,57,57,52,95,99,0,0,8741,1028,0,707,184,892,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
31003,2678,912,58,37,9999,0,1572,0,3730,5863,5,4,1862,525,2000,1,0,1,63,72,50,0,6,11,0,0,1440,1584,14539,878,0,52,52,63,52,47,52,52,50,100,98,0,0,8741,1028,0,707,184,892,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
32004,2678,912,58,37,9999,0,1741,0,3730,6493,5,4,1478,525,2000,1,0,1,61,72,48,0,3,13,0,0,1440,1584,14791,876,0,50,55,38,50,44,45,42,50,95,97,0,0,8741,1028,0,707,184,892,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
33004,2678,912,58,37,9999,0,1622,0,3730,6050,5,4,1862,525,2000,1,0,1,64,72,47,0,3,11,0,0,1440,1584,15860,863,0,57,94,95,89,94,54,54,57,100,99,0,0,8741,1028,0,707,184,892,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,9999,118
