Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
1000,2472,1002,49,38,9999,0,1533,0,3669,5624,5,4,1478,525,1804,1,0,1,35,72,68,0,11,44,0,0,1440,1584,17848,2377,326,30,39,38,31,47,19,25,30,95,96,0,0,8962,1099,0,768,212,981,74,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,101,0,0,0
2000,2472,1002,49,38,9999,0,1529,0,3669,5609,5,4,1478,525,2000,1,0,1,44,72,56,0,9,33,0,0,1440,1584,18821,2380,307,33,42,44,47,50,30,30,33,95,89,0,0,8962,1099,0,768,212,981,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,101,0,0,0
3000,2472,1002,49,38,9999,0,1559,0,3669,5719,5,4,1478,525,2000,1,0,1,41,72,53,0,3,33,0,0,1440,1584,19036,2385,316,40,50,42,50,42,36,33,40,100,85,0,0,8962,1099,0,768,212,981,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,101,0,0,0
4000,2472,1002,49,38,9999,0,1442,0,3686,5315,5,4,1478,525,2000,1,0,1,36,72,54,0,0,34,0,0,1440,1584,18307,2404,310,47,52,47,47,52,43,39,47,94,88,0,0,8962,1099,0,768,212,981,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,101,0,0,0
5000,2472,1002,49,38,9999,0,1442,0,3685,5313,5,4,1478,525,2000,1,0,1,36,72,52,0,0,36,0,0,1440,1584,12935,2455,316,47,47,56,47,50,47,47,42,95,92,0,0,8962,1099,0,768,212,981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,101,0,0,0
6000,2472,1002,49,38,9999,0,1472,0,3685,5424,5,4,1478,525,2000,1,0,1,43,72,51,0,0,31,0,0,1440,1584,18559,2475,314,39,56,47,42,47,39,31,31,94,87,0,0,8962,1099,0,768,212,981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,101,0,0,0
7001,2472,1002,49,38,9999,0,1473,0,3685,5428,5,4,1478,525,2000,1,0,1,36,72,52,0,0,37,0,0,1440,1584,14257,2477,319,42,42,50,47,40,26,31,42,90,86,0,0,8962,1099,0,768,212,981,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,101,0,0,0
8001,2472,1002,49,38,9999,0,1663,0,3685,6128,5,4,1766,525,2000,1,0,1,54,72,51,0,0,35,0,0,1440,1584,14969,2426,316,43,50,44,50,52,39,43,42,95,89,0,0,8962,1099,0,768,212,981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,101,0,0,0
9001,2472,1002,49,38,9999,0,1560,0,3685,5748,5,4,1478,525,2000,1,0,1,48,72,52,0,20,22,0,0,1440,1584,13680,2473,315,52,47,47,50,56,47,50,52,90,97,0,0,8962,1099,0,768,212,981,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,101,0,0,0
10001,2472,1002,49,38,9999,0,1639,0,3685,6039,5,4,1478,525,2000,1,0,1,59,72,49,0,0,25,0,0,1440,1584,17676,2413,309,45,47,52,64,59,45,30,42,95,90,0,0,8962,1099,0,768,212,981,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,101,0,0,0
